제목,장르,총 평점
어느날 밤에 생긴 일,로맨틱코미디,3.7
더 폰,범죄,3.3
황해,스릴러,3.7
동물 농장,애니메이션,3.6
세인트 루이스에서 만나요,로맨스,3.5
위대한 독재자,코미디,4.0
나는 전설이다,모험,3.6
로렌스 애니웨이,드라마,3.8
멜랑콜리아,드라마,3.8
12 몽키즈,미스터리,3.7
하나와 앨리스 : 살인사건,애니메이션,3.5
붙어야 산다,코미디,3.1
더 보이스,코미디,3.1
어린왕자,판타지,3.8
햄릿 2000,로맨스,2.7
헤더스,스릴러,3.3
매직 마이크 XXL,드라마,3.1
"페어웰, 마이 퀸",드라마,3.0
위대한 유산,드라마,3.6
청춘 스케치,코미디,3.7
채플린,드라마,3.7
벨벳 골드마인,음악,3.7
007 썬더볼 작전,액션,3.4
007 골드핑거,액션,3.4
007 위기일발,액션,3.4
007 살인번호,스릴러,3.4
로프,범죄,3.8
별을 쫓는 아이:아가르타의 전설,애니메이션,3.5
도그마,모험,3.1
내 남자 사용법,로맨틱코미디,3.3
마린,드라마,2.9
철도원,드라마,3.5
황금광 시대,모험,3.9
달콤한 복수,로맨틱코미디,2.7
렌트,음악,3.7
새벽의 저주,액션,3.7
에베레스트,모험,3.2
파퍼씨네 펭귄들,코미디,3.4
검은 사제들,스릴러,3.6
다크 사이드 오브 선,로맨스,2.6
"러브, 마릴린",다큐멘터리,3.4
온리 포 유,로맨틱코미디,3.2
미녀와 야수,드라마,3.6
시티 라이트,로맨틱코미디,3.9
신부와 편견,드라마,3.2
천녀유혼,액션,3.8
내일을 향해 쏴라,서부극,3.9
새,공포,3.8
화이트 하우스 다운,액션,3.2
오만과 편견,드라마,3.3
로리타,범죄,3.5
더 헌트,드라마,3.8
에이리언 4,SF,3.5
오즈의 마법사,판타지,3.7
에이리언 3,SF,3.5
모라토리움기의 다마코,드라마,3.2
에이리언 2,액션,3.8
에이리언,공포,3.9
맨 프롬 UNCLE,코미디,3.4
하트비트,드라마,3.7
쉬리,액션,3.7
잠수종과 나비,드라마,3.7
하나와 앨리스,로맨스,3.5
이상한 나라의 앨리스,애니메이션,3.8
"가장 따뜻한 색, 블루",드라마,3.8
심야식당,코미디,3.7
중경삼림,로맨스,4.0
앵무새 죽이기,드라마,3.7
마션,모험,3.9
저지 드레드,액션,3.1
진주만,액션,3.6
버진 스노우,드라마,2.8
스물,드라마,3.4
친구,액션,3.8
데스 노트,판타지,3.2
비치,모험,3.3
표적,드라마,3.2
레퀴엠,드라마,4.0
모퉁이 가게,로맨틱코미디,3.7
소셜포비아,스릴러,3.2
청춘의 증언,드라마,3.7
특종: 량첸살인기,스릴러,3.1
스트롭 에지,로맨스,2.6
카포티,범죄,3.6
다 큰 녀석들,코미디,3.5
후세: 말하지 못한 내 사랑,애니메이션,3.6
씨민과 나데르의 별거,드라마,4.0
베스트 엑조틱 메리골드 호텔,코미디,3.5
아드레날린 24,액션,3.4
아폴로 13,모험,3.6
안나 카레니나,드라마,3.5
인서전트,SF,3.4
베니스의 상인,드라마,3.2
아메리칸 스나이퍼,스릴러,3.8
프랭크,음악,3.4
퀵 앤 데드,서부극,2.9
라이언 일병 구하기,전쟁,4.1
매직 인 더 문라이트,로맨스,3.2
뷰티 인사이드,로맨스,3.9
7년만의 외출,코미디,3.3
조선명탐정 : 사라진 놉의 딸,시대극,3.3
문라이즈 킹덤,드라마,3.7
지금 사랑하는 사람과 살고 있습니까?,로맨스,2.5
테레즈 라캥,범죄,3.1
드라큘라: 전설의 시작,판타지,3.1
미트 페어런츠,코미디,3.3
헝거게임: 모킹제이,액션,3.7
갬빗,코미디,3.0
내가 잠들기 전에,드라마,3.4
대부 3,범죄,4.0
톨스토이의 마지막 인생,드라마,3.3
엑시덴탈 러브,코미디,2.6
레일웨이 맨,드라마,3.2
베테랑,액션,4.0
헝거게임: 캣칭 파이어,액션,3.9
댈러웨이 부인,로맨스,3.2
메이즈 러너: 스코치 트라이얼,액션,3.5
바람과 함께 사라지다,전쟁,4.0
장수상회,가족,3.4
푸드 주식회사,다큐멘터리,3.7
나의 사적인 여자친구,드라마,3.5
로마 위드 러브,로맨틱코미디,3.3
록키,스포츠,3.9
헨젤과 그레텔 : 마녀 사냥꾼,판타지,2.9
소셜 네트워크,드라마,3.5
피아니스트,드라마,4.1
길버트 그레이프,드라마,3.8
슬럼독 밀리어네어,드라마,3.9
아더 우먼,코미디,3.2
살인의 추억,범죄,4.1
트루스 어바웃 엠마누엘,드라마,3.1
인 타임,액션,3.5
크러쉬,공포,2.4
뉴 월드,로맨스,2.9
버팔로 66,코미디,3.9
패치 아담스,코미디,3.8
셰익스피어 인 러브,코미디,3.5
창문넘어 도망친 100세 노인,모험,3.6
아메리칸 셰프,모험,3.9
숀더쉽,가족,3.6
사랑은 비를 타고,음악,4.0
판타스틱 4,액션,2.6
온리 유,코미디,3.5
붉은 돼지,판타지,3.6
"크레이지, 스투피드, 러브",로맨틱코미디,3.5
종이 달,드라마,3.6
디스트릭트 9,SF,3.8
알로하,로맨스,2.8
더 라스트 파이브 이어즈,코미디,3.0
잭 더 자이언트 킬러,판타지,2.9
그는 당신에게 반하지 않았다,로맨틱코미디,3.5
환상속의 그대,로맨스,3.1
앤트맨,액션,3.9
샌 안드레아스,재난,3.1
필립 모리스,코미디,3.4
트로픽 썬더,액션,3.1
임신한 당신이 알아야 할 모든 것,코미디,3.0
페리스의 해방,코미디,3.5
진격의 거인 파트 1,SF,2.4
업사이드 다운,판타지,3.2
다운 위드 러브,로맨틱코미디,3.0
반지의 제왕 : 반지 원정대,판타지,4.1
암살,액션,4.0
타임 투 러브,로맨틱코미디,2.8
미니언즈,애니메이션,3.5
스펙타큘라 나우,드라마,3.4
볼트,애니메이션,3.3
우리들이 있었다 후편,로맨스,3.2
우리들이 있었다 전편,로맨스,3.2
금지옥엽 2,로맨스,3.2
배틀로얄,액션,2.9
저스트 어 이어,로맨틱코미디,2.6
스켈리톤 키,공포,3.3
픽셀스,액션,3.5
미션 임파서블 : 고스트 프로토콜,액션,3.9
미션 임파서블: 로그네이션,액션,3.8
미션 임파서블 3,액션,3.8
시티 아일랜드,드라마,3.2
미션 임파서블 2,액션,3.6
분노의 질주,액션,3.8
단테스 피크,액션,3.3
배트맨 비긴즈,액션,3.9
코쿠리코 언덕에서,애니메이션,3.2
블라인드 가이,로맨틱코미디,3.2
줄무늬 파자마를 입은 소년,드라마,4.1
19곰 테드 2,코미디,3.0
세 얼간이,코미디,4.1
셀마,드라마,3.7
난 그녀와 키스했다,로맨틱코미디,3.2
앵그리스트맨,코미디,3.4
미드나잇 인 파리,코미디,3.9
라바,애니메이션,3.5
주온 - 극장판,공포,2.8
픽셀,액션,2.9
손님,판타지,2.8
인사이드 아웃,코미디,4.1
시네마 천국,드라마,4.3
와호장룡,액션,3.7
센스 앤 센서빌리티,드라마,3.6
좀비랜드,모험,3.5
19곰 테드,판타지,3.3
점퍼,액션,3.4
더 저지,드라마,3.7
트래쉬,모험,3.7
2001 스페이스 오디세이,SF,4.0
향수 - 어느 살인자의 이야기,범죄,3.7
햄릿,드라마,3.2
몽상가들,드라마,3.6
쥬라기 월드,액션,3.5
린다 린다 린다,틴에이저,3.2
여배우들,드라마,2.7
아오하라이드,로맨스,3.4
비기너스,코미디,3.8
"멘, 우먼 & 칠드런",드라마,3.5
크레이머 대 크레이머,드라마,3.7
서약,로맨스,3.6
빈,코미디,3.5
은교,로맨스,2.9
엑스 마키나,드라마,3.5
초콜렛,로맨스,3.3
노인을 위한 나라는 없다,범죄,4.0
간신,드라마,2.8
우리 개 이야기,드라마,3.5
"색, 계",드라마,3.6
차이나타운,범죄,3.1
배트맨,액션,3.7
모짜르트와 고래,로맨틱코미디,3.5
더 퍼지,공포,2.8
열두 명의 웬수들,가족,3.2
오직 사랑하는 이들만이 살아남는다,드라마,3.5
미저리,공포,3.7
싱글 맨,드라마,3.7
007 카지노 로얄,액션,3.8
어느 멋진 순간,로맨스,3.5
캐스트 어웨이,모험,4.0
친절한 금자씨,드라마,3.6
보이후드,드라마,3.9
기쿠지로의 여름,코미디,3.7
내 여자친구의 결혼식,코미디,3.2
정글북,애니메이션,3.6
로봇 앤 프랭크,코미디,3.4
홈,애니메이션,3.3
피버 피치,로맨틱코미디,3.4
룸메이트,드라마,2.5
스타워즈 에피소드 3: 시스의 복수,SF,3.9
올드보이,드라마,4.1
스타워즈 에피소드 2: 클론의 습격,SF,3.7
뉴욕 아이 러브 유,로맨틱코미디,3.1
뱀파이어와의 인터뷰,드라마,3.8
파란만장,판타지,3.4
스타워즈 에피소드 1: 보이지 않는 위험,SF,3.7
스폰지밥3D,애니메이션,3.1
조 블랙의 사랑,판타지,3.5
터미네이터,액션,3.9
겟 스마트,액션,3.1
스타워즈 에피소드 6: 제다이의 귀환,액션,4.0
스타워즈 에피소드 5: 제국의 역습,SF,4.0
스타워즈 에피소드 4: 새로운 희망,SF,3.9
유기견 입양기,코미디,3.7
걸리버 여행기,모험,2.9
쉰들러 리스트,드라마,4.2
연애놀이,애니메이션,3.3
화씨 9/11,다큐멘터리,3.5
금지된 사랑,로맨스,3.4
세븐,스릴러,4.1
스탠 바이 미,모험,3.8
터너와 후치,드라마,3.2
버레스크,로맨스,3.6
토요일 밤의 열기,로맨스,3.5
캐리,공포,3.5
호킹,드라마,3.8
양들의 침묵,드라마,4.0
톰보이,드라마,3.8
초속 5센티미터,로맨스,3.7
해피 홀리데이,코미디,3.2
비버리 힐스 캅,범죄,3.3
꼬마 돼지 베이브,코미디,3.4
컨저링,스릴러,3.2
파라노말 액티비티,공포,3.1
토탈 이클립스,드라마,3.6
티파니에서 아침을,로맨스,3.8
슈퍼 사이즈 미,다큐멘터리,3.4
우리에게 내일은 없다,로맨스,3.8
놀랍도록 줄어든 사나이,스릴러,3.7
블랙코드,액션,2.2
피치 퍼펙트: 언프리티 걸즈,음악,3.3
블렌디드,코미디,3.5
스카페이스,드라마,4.0
스크림,공포,3.4
탑건,액션,3.7
연애의 맛,로맨스,2.3
배드 티처,코미디,2.9
신이 말하는 대로,공포,2.7
링,공포,3.1
구구는 고양이다,드라마,3.1
베토벤 2,코미디,3.2
베토벤,코미디,3.4
마이 페어 레이디,가족,3.7
누가 로져 래빗을 모함했나,애니메이션,3.3
런어웨이 브라이드,코미디,3.1
죠스,공포,3.5
클로저,로맨스,3.7
졸업,코미디,3.8
한여름 밤의 꿈,로맨틱코미디,3.2
아웃 오브 아프리카,드라마,3.8
채피,액션,3.4
월터의 상상은 현실이 된다,모험,3.8
테이크다운,범죄,2.9
스파이,액션,3.9
레인 맨,드라마,4.0
매드맥스: 분노의 도로,액션,4.1
멀홀랜드 드라이브,스릴러,3.8
로보캅,액션,3.6
매드 맥스 3,액션,3.2
매드 맥스 2: 로드 워리어,액션,3.5
매드 맥스,액션,3.4
럭키 넘버 슬레븐,범죄,3.6
파이란,로맨스,3.7
리썰 웨폰 4,액션,3.4
리썰 웨폰 3,액션,3.5
근거리 연애,드라마,2.4
맨하탄,로맨틱코미디,3.9
리썰 웨폰 2,액션,3.5
나나,드라마,3.2
12명의 성난 사람들,드라마,4.2
여인의 향기,드라마,4.1
헤드윅,음악,4.0
칵테일,드라마,3.4
록키 호러 픽쳐 쇼,판타지,3.8
레고 무비,애니메이션,3.6
마리 앙투아네트,드라마,3.3
완전한 세상,드라마,3.7
그래비티,SF,4.0
조찬 클럽,드라마,3.4
록 스탁 앤 투 스모킹 배럴즈,코미디,3.9
스트레인저 댄 픽션,코미디,3.7
브레이브하트,드라마,4.0
세비지 그레이스,드라마,3.1
나인 하프 위크,드라마,3.3
에버 애프터,로맨틱코미디,3.3
워킹걸,코미디,2.4
폭스캐처,드라마,3.8
도라에몽:스탠바이미,애니메이션,3.6
스내치,코미디,3.7
유아 낫 유,드라마,3.4
수퍼맨 리턴즈,판타지,3.1
밤의 피크닉,일본,3.1
전차남,드라마,3.1
리썰 웨폰,액션,3.7
데이브,로맨틱코미디,3.3
네번의 결혼식과 한번의 장례식,로맨틱코미디,3.4
맨 온 파이어,액션,3.7
글루미 선데이,드라마,3.7
땡스 포 쉐어링,로맨틱코미디,3.2
더 퍼스트 타임,로맨스,3.5
라이프 오브 파이,판타지,4.0
매치 포인트,드라마,3.4
스틸 앨리스,드라마,3.7
올리버 트위스트,범죄,3.6
아마데우스,음악,4.0
베드타임 스토리,판타지,3.1
노킹 온 헤븐스 도어,범죄,3.9
콜드 라잇 오브 데이,액션,2.6
다이브!,스포츠,2.5
박사가 사랑한 수식,드라마,3.5
어벤져스: 에이지 오브 울트론,액션,3.8
패밀리 S다이어리,드라마,2.6
패딩턴,모험,3.5
캐치 미 이프 유 캔,범죄,4.1
닌자터틀,애니메이션,2.9
닌자 거북이 TMNT,판타지,2.9
쇼생크 탈출,드라마,4.4
"흡연, 감사합니다",코미디,3.6
동방불패,드라마,3.8
백설공주의 마지막 키스,드라마,3.4
창,애니메이션,3.7
잭,코미디,3.6
가부와 메이 이야기,코미디,3.7
"러브, 비하인드",코미디,3.4
대부 2,드라마,4.2
줄리 & 줄리아,드라마,3.7
브릭 맨션: 통제불능 범죄구역,액션,3.0
완벽한 파트너,드라마,2.2
"서른아홉, 열아홉",코미디,3.3
피파 리의 특별한 로맨스,코미디,3.0
아이가 커졌어요,모험,3.3
하룻밤,드라마,2.6
밤벌레,한국,2.6
맨 프럼 어스,SF,3.9
펀치 드렁크 러브,코미디,3.7
인디펜던스 데이,SF,3.6
천국보다 아름다운,로맨스,3.6
윔블던,스포츠,3.2
루비 스팍스,로맨틱코미디,3.6
어느 멋진 날,로맨틱코미디,3.5
로맨틱 홀리데이,로맨스,3.7
김복남 살인사건의 전말,스릴러,3.3
파리의 자살가게,애니메이션,3.1
우리는 동물원을 샀다,드라마,3.6
쎄시봉,음악,3.3
파라노만,애니메이션,3.3
타임 패러독스,액션,3.8
굿바이 마이 프랜드,드라마,4.0
사탄의 인형,공포,3.2
그녀,드라마,3.9
피터 팬,애니메이션,3.7
언어의 정원,애니메이션,3.7
사랑한다면 이들처럼,드라마,3.6
돌려차기,코미디,2.1
소림축구,스포츠,3.5
와일드,모험,3.9
소녀이야기,애니메이션,4.1
마더,드라마,3.6
데블,공포,3.0
어네스트와 셀레스틴,음악,3.9
데미지,드라마,3.3
보노보노 극장판 : 쿠모모나무의 비밀,애니메이션,3.5
신데렐라,판타지,3.5
겨울왕국 열기,애니메이션,3.5
타짜,드라마,4.1
사랑의 가위바위보,로맨틱코미디,2.9
진격의 거인-홍련의 화살-,애니메이션,3.4
나의 사랑 나의 신부,드라마,3.3
추억의 마니,애니메이션,3.4
마이 원 앤 온리,드라마,3.5
유주얼 서스펙트,범죄,4.2
프라이멀 피어,범죄,4.0
연애의 온도,로맨틱코미디,3.5
127 시간,드라마,3.4
빅 피쉬,모험,3.9
라스베가스를 떠나며,로맨스,3.7
28일 후,드라마,3.7
위플래쉬,드라마,4.0
인크레더블 헐크,액션,3.5
미쓰 홍당무,코미디,3.0
죽음의 날,판타지,3.2
오션스 13,범죄,3.7
마담 프루스트의 비밀정원,코미디,3.8
리미트리스,SF,3.8
선샤인 온 리스,코미디,2.7
더 심슨:더 롱기스트 데이케어,애니메이션,3.6
포레스트 검프,드라마,4.3
남자사용설명서,로맨스,2.9
너겟츠,애니메이션,3.5
키위!,애니메이션,3.5
헤븐리 어필스,애니메이션,2.9
댓츠 마이 보이,코미디,3.0
파리의 유령,애니메이션,3.5
아트 오브 겟팅 바이,드라마,3.3
안드레와 월리 꿀벌의 모험,애니메이션,2.7
당신 곁에 잠들고 싶어요,애니메이션,3.4
당신의 성인을 알아보는 법,드라마,3.2
핫 로드,일본,2.6
밤비,애니메이션,3.5
하녀,스릴러,2.9
그레이의 50가지 그림자,드라마,2.7
28일 동안,드라마,3.2
몬스터 vs 에이리언,애니메이션,3.1
007 퀀텀 오브 솔러스,액션,3.5
아이 킬드 마이 마더,드라마,3.8
몽키 심포니,애니메이션,3.1
노벰버 맨,액션,2.8
비포 선라이즈,판타지,3.3
디어 존,드라마,3.3
스노우맨,판타지,4.0
보이지 않아도,애니메이션,3.8
빈센트,애니메이션,3.6
파이트 클럽,드라마,4.1
이완 맥그리거의 인질,로맨스,3.3
돈 존,코미디,2.9
스플래쉬,로맨틱코미디,3.3
스트레스를 부르는 그 이름 직장상사 2,코미디,3.1
아담과 개,애니메이션,3.4
톰과 제리 설록홈즈를 만나다,애니메이션,3.4
러브 이즈 올 유 니드?,드라마,3.8
메리 포핀스,드라마,3.8
박물관이 살아있다 : 비밀의 무덤,모험,3.3
논스톱,액션,3.5
제임스와 거대한 복숭아,애니메이션,3.6
선샤인 걸,애니메이션,3.1
미녀와 야수 2,애니메이션,3.3
더그의 특별 임무,애니메이션,3.5
이보다 더 좋을 순 없다,로맨스,3.9
썸원 라이크 유,로맨틱코미디,3.1
허당 해적단,애니메이션,3.2
치킨 런,애니메이션,3.5
나무를 심은 사람,판타지,4.0
혼자는 싫어요,드라마,3.8
17세의 혼돈,로맨틱코미디,3.1
엘라 인챈티드,로맨틱코미디,2.9
오션스 트웰브,범죄,3.6
사랑의 동반자,코미디,3.6
턱시도,액션,3.2
하와이,드라마,3.6
쿵푸팬더 : 시크릿 오브 더 퓨리어스 파이브,애니메이션,3.5
쿵푸팬더: 동지축제,애니메이션,3.4
씨.오.지.,드라마,3.1
해롤드와 쿠마,코미디,3.4
그의 시선,드라마,3.9
노인과 돼지,애니메이션,2.3
자본주의: 러브 스토리,다큐멘터리,3.8
반딧불이의 숲으로,애니메이션,3.9
슈퍼배드 2,애니메이션,3.7
22 점프 스트리트,범죄,3.5
신,애니메이션,2.6
독스 오브 워,코미디,3.0
나방,애니메이션,2.6
블랙 골드,애니메이션,2.7
서브마린 샌드위치,애니메이션,3.5
웨스턴 스파게티,애니메이션,3.9
루프 섹스,애니메이션,3.0
프레쉬 과카몰리,애니메이션,4.0
마이 페퍼 하트,애니메이션,1.9
케이크 카운트다운,애니메이션,2.0
장난전화,애니메이션,2.2
결혼은...,애니메이션,2.2
드로닝 넛,애니메이션,2.3
베이비 넛,애니메이션,2.2
불꽃놀이,애니메이션,2.9
피-넛,애니메이션,2.3
게임 오버,애니메이션,3.2
카붐!,애니메이션,2.9
더 딥 ,판타지,3.2
프레스토,애니메이션,3.5
말을 잡아라!,애니메이션,3.4
아리스토캣,애니메이션,3.7
판타스틱 Mr. 폭스,가족,3.9
피스트,애니메이션,3.9
킹콩,로맨스,3.3
청바지 돌려입기,코미디,3.4
사토라레,판타지,3.3
존 터커 머스트 다이,로맨틱코미디,3.0
빅 아이즈,범죄,3.3
메리 슈렉마스,애니메이션,3.4
우리는 밀러 가족,코미디,3.4
강아지 똥,판타지,3.6
슈렉 포에버,판타지,3.4
판타스틱 4,액션,3.2
슈렉 3,판타지,3.4
버드맨,드라마,3.9
300,액션,3.8
더 콜,범죄,3.5
캐리,공포,2.6
비긴 어게인,코미디,4.1
탐엣더팜,드라마,3.5
슈렉 2,판타지,3.5
마스크,판타지,3.7
시티 오브 엔젤,로맨스,3.3
L-DK,로맨스,2.5
킹콩,액션,3.4
쿨 러닝,드라마,3.8
가구야공주 이야기,판타지,3.4
B형 남자친구,로맨틱코미디,2.2
명탐정 코난 : 작별까지의 프롤로그,미스터리,2.9
백 투 더 퓨쳐 3,판타지,3.9
시스터 액트 2,음악,3.7
반 고흐,다큐멘터리,3.8
시스터 액트,음악,3.9
톰과 제리,애니메이션,3.8
라푼젤 그 후 이야기,액션,3.6
파프리카,SF,3.6
꽃미남 연쇄 테러사건,틴에이저,1.5
두 얼굴의 여친,로맨틱코미디,2.6
아메리칸 뷰티,드라마,3.8
빽 투 더 퓨쳐 2,코미디,3.9
예스맨,드라마,3.5
킹스맨 : 시크릿 에이전트,액션,4.1
블링키,공포,3.1
21 점프 스트리트,범죄,3.5
캣쉿원,애니메이션,3.4
로봇의 눈물,드라마,2.5
신텔,판타지,2.9
마루 밑 아리에티,판타지,3.5
매트릭스 3: 레볼루션,SF,3.9
이매진 미 앤 유,로맨틱코미디,3.3
사랑에 대한 모든 것,드라마,3.6
아담,드라마,3.6
해적: 바다로 간 산적,모험,3.3
존 말코비치 되기,드라마,3.8
1408,공포,3.3
공기인형,드라마,2.8
애니 홀,로맨틱코미디,3.8
비오는 도시,애니메이션,3.1
무방비 도시,범죄,2.9
인 디 에어,드라마,3.7
바다가 들린다,로맨스,3.4
할리데이,코미디,2.7
"그 시절, 우리가 좋아했던 소녀",드라마,4.0
피치 퍼펙트,음악,3.5
인생은 아름다워,드라마,4.4
혹독한 사랑,미국,2.7
S테이프,코미디,2.6
갈갈이 패밀리와 드라큐라,코미디,1.4
가문의 영광,로맨틱코미디,2.7
고 고 G-보이즈,코미디,2.0
그림형제 : 마르바덴 숲의 전설,액션,2.9
이미테이션 게임,드라마,3.8
가타카,SF,4.0
러브레이스,드라마,2.8
사랑이 다시 올 때,로맨틱코미디,2.8
빅 히어로,애니메이션,3.9
그랜드 부다페스트 호텔,드라마,4.0
나를 찾아줘,드라마,3.9
미스터 빈의 홀리데이,드라마,3.4
수면의 과학,코미디,3.5
마담 투들리-푸들리,애니메이션,3.3
뷰티풀 마인드,드라마,3.9
행오버 3,코미디,3.1
생산적 활동,다큐멘터리,4.0
작은 벽돌로 쌓은 집,애니메이션,4.0
행오버 2,코미디,3.3
글래디에이터,액션,4.1
웃음 가스,미국,2.9
20분의 사랑,미국,2.8
로고라마,액션,3.5
제로,애니메이션,3.0
히트,범죄,3.7
어리석게 죽는 방법,애니메이션,3.5
고양이 집회,애니메이션,3.4
사랑의 레시피,애니메이션,2.8
슬림 타임,애니메이션,2.5
착신아리 파이널,공포,1.9
알마,판타지,3.5
달,애니메이션,4.2
오믈렛,애니메이션,4.0
파란 우산,애니메이션,3.6
바스터즈: 거친 녀석들,모험,4.0
신사는 금발을 좋아한다,음악,3.6
쿠스코? 쿠스코!,애니메이션,3.5
박물관이 살아있다!,모험,3.4
당신은 몇번째인가요?,로맨틱코미디,3.2
후크,모험,3.5
친구와 연인사이,로맨틱코미디,3.3
쇼퍼홀릭,로맨틱코미디,3.3
마파도,코미디,2.8
뱀파이어 써커,코미디,2.3
마다가스카의 펭귄,코미디,3.5
마다가스카 펭귄들의 크리스마스 미션,애니메이션,3.6
날 미치게 하는 남자,드라마,3.3
마다가스카3 : 이번엔 서커스다!,애니메이션,3.6
로미오와 줄리엣,로맨스,3.7
사일런트 웨딩,드라마,3.3
뜨거운 녀석들,액션,3.6
고쿠센 - 더 무비,틴에이저,2.8
대부,범죄,4.3
킬 빌 2,액션,3.7
당신에게 일어날 수 있는 일,코미디,3.4
람릴라,로맨스,3.3
사랑한다고 말해 : 키스하고 싶어질 땐,틴에이저,2.8
킬 빌,액션,3.7
말레피센트,액션,3.6
워터스,드라마,2.7
숲속으로,드라마,2.6
오션스 일레븐,범죄,3.8
브이 포 벤데타,SF,3.9
토이 스토리 댓 타임 포갓,애니메이션,3.7
토이 스토리 오브 테러,애니메이션,3.7
토르: 다크 월드,모험,3.7
유 콜 잇 러브,로맨틱코미디,3.5
폰 부스,범죄,3.8
웨딩 싱어,로맨스,3.4
장미의 이름,범죄,3.7
쥬라기 공원,모험,3.9
마다가스카 2,애니메이션,3.5
굿모닝 베트남,코미디,3.7
모모와 다락방의 수상한 요괴들,드라마,3.7
워 호스,드라마,3.5
하울의 움직이는 성,판타지,4.2
자니 익스프레스,애니메이션,4.0
누군가의 시선,애니메이션,3.6
그녀와 그녀의 고양이,애니메이션,3.6
인투 더 스톰,재난,3.2
빽 투 더 퓨쳐,모험,4.0
GROW: 인피니트의 리얼 청춘 라이프,드라마,3.5
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,다큐멘터리,4.0
이것이 우리의 끝이다,코미디,2.7
신세계,드라마,4.2
어톤먼트,드라마,3.8
본 얼티메이텀,액션,4.1
스윙걸즈,틴에이저,3.5
그녀의 연기,드라마,3.3
도둑들,범죄,3.8
레이디와 트램프 2,애니메이션,3.3
브레이브 원,액션,3.1
헤어스프레이,음악,3.6
월래스와 그로밋 : 거대토끼의 저주,애니메이션,3.6
월레스와 그로밋: 빵과 죽음의 문제,애니메이션,3.7
프렌즈 위드 베네핏,로맨틱코미디,3.4
램프의 요정,드라마,3.2
셰임,드라마,3.5
좋은 밤 되세요,드라마,3.4
별별 이야기,애니메이션,3.5
별별 이야기 2 - 여섯 빛깔 무지개,가족,3.6
월레스와 그로밋 - 걸작선,애니메이션,4.0
월레스와 그로밋 - 화려한 외출,애니메이션,3.9
월레스와 그로밋 - 양털 도둑,애니메이션,3.8
월레스와 그로밋 - 전자바지 소동,애니메이션,3.8
카드캡터 사쿠라 - 봉인된 카드,판타지,3.8
그놈 목소리,스릴러,3.3
어느날 갑자기 두번째 이야기 - 네번째 층,공포,2.7
어느날 갑자기 세번째 이야기 - D-day,스릴러,2.9
거북이 달린다,드라마,3.2
절대로 네 여자가 될 수 없을거야,로맨틱코미디,2.8
내 생애 최고의 데이트,로맨틱코미디,2.7
사랑에 빠지는 아주 특별한 법칙,코미디,2.9
춘향뎐,로맨스,2.8
참을 수 없는.,드라마,2.3
사랑따윈 필요없어,로맨스,2.3
도레미파솔라시도,틴에이저,1.9
꽃보다 남자,코미디,3.2
댄서의 순정,로맨스,2.8
너는 펫,로맨틱코미디,2.2
극장판 짱구는 못말려 4기: 핸더랜드의 대모험,애니메이션,3.7
극장판 짱구는 못말려 2기: 부리부리 왕국의 숨겨진 보물,애니메이션,3.6
극장판 짱구는 못말려 7기: 폭발! 온천 부글부글 대작전,애니메이션,3.5
아이스 에이지,애니메이션,3.6
로리타,드라마,3.2
각설탕,드라마,3.0
명탐정 코난 : 눈동자 속의 암살자,애니메이션,3.6
명탐정 코난 : 세기말의 마술사,애니메이션,3.6
명탐정 코난 : 14번째 표적,애니메이션,3.6
명탐정 코난 : 시한 장치의 마천루,애니메이션,3.6
뮬란: 전사의 귀환,모험,2.8
스트리트댄스,로맨스,3.3
본 슈프리머시,액션,4.1
명탐정 코난: 베이커가의 망령,애니메이션,3.8
명탐정 코난 극장판 5 - 천국으로의 카운트다운,애니메이션,3.7
온 유어 마크,애니메이션,3.8
굿 윌 헌팅,드라마,4.2
