제목,장르,총 평점
할람 포,드라마,3.4
악의교전,스릴러,3.0
더 기버: 기억전달자,드라마,3.5
101 달마시안,드라마,3.5
키리쿠와 마녀,애니메이션,3.6
인터스텔라,모험,4.2
리스본행 야간열차,미스터리,3.7
델마와 루이스,드라마,3.9
라스트 홀리데이,모험,4.0
버니드롭,드라마,3.5
브로크백 마운틴,드라마,3.8
패왕별희,드라마,4.0
해피 투게더,로맨스,3.9
원나잇온리,로맨스,2.7
야간비행,드라마,3.0
백야,드라마,3.0
남쪽으로 간다,로맨스,2.6
"지난여름, 갑자기",드라마,3.0
님포매니악 볼륨2,드라마,3.3
영원한 여름,로맨스,3.5
님포매니악 볼륨1,드라마,3.2
더 이글,액션,3.0
메리에겐 뭔가 특별한 것이 있다,로맨틱코미디,3.4
셀터,로맨스,3.5
화이트 칙스,코미디,3.7
두근두근 내 인생,드라마,3.2
컬러풀 웨딩즈,코미디,3.5
리오 2,애니메이션,3.3
해피 플라이트,드라마,3.2
헬로우 고스트,코미디,3.5
에이 아이,모험,4.0
빅 웨딩,코미디,2.8
그리스,로맨스,3.5
헝거게임: 판엠의 불꽃,액션,3.8
티거무비,애니메이션,3.6
잠복근무,액션,2.8
캣우먼,판타지,2.5
리오,애니메이션,3.4
클로이,드라마,3.2
시간 여행자의 아내,판타지,3.7
메이즈 러너,액션,3.8
50/50,코미디,3.6
그렇게 아버지가 된다,드라마,3.9
가슴 배구단,드라마,2.6
추격자,범죄,4.1
미세스 다웃파이어,가족,3.7
러브 & 드럭스,로맨틱코미디,3.3
더 웹툰: 예고살인,공포,2.6
금지옥엽,로맨틱코미디,3.4
비스틀리,로맨스,2.8
모던 타임즈,코미디,4.0
베리드,드라마,3.5
진주 귀걸이를 한 소녀,드라마,3.5
바이센테니얼 맨,SF,3.8
친구 사이?,로맨스,2.7
마이 걸,코미디,3.7
파이널환타지,SF,2.6
고사: 피의 중간고사,공포,2.2
고교데뷔,로맨틱코미디,2.3
간 큰 가족,코미디,2.6
환상특급,공포,3.6
아스트로 보이 : 아톰의 귀환,액션,2.9
내 여자의 남자친구,드라마,2.2
빅,코미디,3.8
어거스트: 가족의 초상,코미디,3.4
구름 조금,판타지,4.0
원 맨 밴드,애니메이션,3.5
마이크의 새 차,애니메이션,3.3
룩소 2세,판타지,3.3
리프티드,애니메이션,3.4
장식품,애니메이션,3.2
잭잭의 공격,애니메이션,3.5
제리의 게임,애니메이션,3.5
전선 위의 참새,코미디,3.4
점프,애니메이션,3.1
번-E,애니메이션,3.9
낮과 밤,애니메이션,3.9
메가마인드,애니메이션,3.4
하늘에서 음식이 내린다면 2,애니메이션,3.5
왓 위민 원트,코미디,3.5
다이하드: 굿 데이 투 다이,액션,3.3
미스 리틀 선샤인,드라마,3.9
원초적 본능,드라마,3.5
내겐 너무 가벼운 그녀,로맨스,3.4
엘도라도,애니메이션,3.5
라이어 라이어,코미디,3.5
릴로 & 스티치,애니메이션,3.6
킹스 스피치,드라마,3.7
캐리비안의 해적 - 블랙 펄의 저주,액션,4.0
바르게 살자,코미디,3.3
우리들과 경찰아저씨의 700일 전쟁,코미디,3.4
내니 다이어리,로맨틱코미디,3.3
대학살의 신,코미디,3.6
백조 공주 2,애니메이션,3.3
백조 공주,애니메이션,3.5
커플로 살아남기,로맨틱코미디,3.4
애들이 줄었어요,모험,3.3
"오늘, 사랑을 시작합니다",로맨스,2.7
러브렉트,로맨틱코미디,2.8
코요테 어글리,드라마,3.7
사랑은 타이핑 중!,로맨틱코미디,3.3
나쁜 이웃들,코미디,3.1
식객,드라마,3.0
메리다와 마법의 숲,애니메이션,3.5
뮬란 2,애니메이션,3.3
덤보,애니메이션,3.5
스파이 키드,액션,3.0
Mr. 로빈 꼬시기,코미디,2.3
S러버,코미디,2.7
청원,드라마,3.7
착신아리,공포,2.7
인형사,공포,2.2
령,공포,2.3
체이싱 리버티,로맨틱코미디,2.9
딥 블루 씨,스릴러,3.2
알라딘 2 - 돌아온 자파,판타지,3.3
킬러스,액션,3.0
스피릿,애니메이션,3.4
웜 바디스,코미디,3.3
미녀 삼총사,액션,3.4
마다가스카,애니메이션,3.6
사하라,액션,2.8
맨 오브 스틸,액션,3.3
헬프,드라마,4.0
다이버전트,SF,3.4
차형사,액션,2.8
네트,액션,3.1
엑소시스트,공포,3.5
프리미엄 러쉬,액션,3.5
인어공주,로맨스,3.4
뉴욕의 연인들,로맨틱코미디,3.1
백만장자의 첫사랑,로맨스,2.2
서양골동양과자점 앤티크,코미디,2.8
웨딩 데이트,로맨스,2.8
내부고발자,범죄,3.3
6년째 연애중,로맨스,3.0
사랑의 레시피,로맨스,3.2
거짓말의 발명,로맨스,3.2
용의자,액션,3.4
케빈에 대하여,드라마,4.0
아메리칸 파이,코미디,3.2
호로비츠를 위하여,드라마,3.2
뉴욕 미니트,코미디,3.1
여선생 VS 여제자,드라마,2.4
발렌타인 데이,로맨틱코미디,3.1
나는 조지아의 미친 고양이,드라마,3.4
타워,재난,3.3
여고괴담 세번째이야기 여우계단,공포,2.5
킥 애스: 영웅의 탄생,액션,3.5
피노키오,애니메이션,3.7
클릭,코미디,3.4
더 임파서블,재난,3.6
신밧드:  7대양의 전설,애니메이션,3.4
군도:민란의 시대,액션,3.2
신데렐라 스토리,로맨틱코미디,3.4
너에게 닿기를,로맨틱코미디,3.2
싸이보그 그녀,로맨틱코미디,2.6
페이퍼맨,애니메이션,4.1
황비홍-천하무인,액션,3.6
심슨 가족: 더 무비,애니메이션,3.8
남주기 아까운 그녀,코미디,3.1
캡틴 아메리카: 윈터 솔져,액션,4.0
블레어 윗치,공포,3.2
2012,SF,3.4
슈렉,애니메이션,3.7
이지 A,틴에이저,3.5
스토커,스릴러,3.5
본 아이덴티티,액션,4.1
벼랑 위의 포뇨,애니메이션,3.7
월드워Z,액션,3.8
타이머,로맨틱코미디,3.1
뉴욕은 언제나 사랑 중,로맨틱코미디,2.7
내일의 기억,드라마,3.5
월플라워,드라마,3.8
쉬즈 올 댓,틴에이저,3.1
태풍태양,로맨스,2.6
바운티 헌터,로맨틱코미디,2.9
달콤한 거짓말,코미디,2.6
킬 유어 달링,드라마,3.5
러브 인 맨하탄,코미디,3.0
"소년, 소년을 만나다",드라마,2.4
욕망이라는 이름의 전차,드라마,3.7
미쓰 루시힐,로맨틱코미디,2.9
저스트 라이크 헤븐,드라마,3.2
러브 콤,코미디,3.1
잠자는 숲속의 공주,애니메이션,3.6
알라딘 3 - 알라딘과 도둑의 왕,애니메이션,3.4
케이트 앤 레오폴드,판타지,3.2
투 윅스 노티스,로맨틱코미디,3.0
브로큰 잉글리쉬,드라마,3.5
두번째 사랑,로맨스,3.1
러브 & 트러블,로맨틱코미디,3.2
25살의 키스,코미디,3.3
마이 파더,드라마,3.0
키스 키스 뱅뱅,범죄,3.3
하이 스쿨 뮤지컬,틴에이저,3.7
하이 스쿨 뮤지컬 2,틴에이저,3.6
엑스맨  2,액션,3.7
엑스맨: 최후의 전쟁,액션,3.6
퍼스트 어벤져,액션,3.7
히어로,범죄,3.2
네버엔딩 스토리,로맨스,2.9
초감각 커플,미스터리,2.5
시드니 화이트,코미디,3.2
오즈 그레이트 앤드 파워풀,액션,2.9
스트레스를 부르는 그 이름 직장상사,코미디,3.2
아쿠아마린,코미디,3.2
언스토퍼블,액션,3.3
마이 블루베리 나이츠,드라마,3.4
에픽 : 숲속의 전설,애니메이션,3.4
매디슨 카운티의 다리,로맨스,3.7
백설공주,모험,3.0
올드 미스 다이어리 - 극장판,코미디,2.9
더티 댄싱,드라마,3.7
10일 안에 남자 친구에게 차이는 법,로맨틱코미디,3.3
27번의 결혼 리허설,로맨틱코미디,3.1
BB 프로젝트,코미디,3.2
인어 공주 2,로맨스,3.3
겁나는 여친의 완벽한 비밀,로맨틱코미디,2.7
미스 에이전트,액션,3.1
보이 걸 씽,코미디,3.4
워크 투 리멤버,드라마,3.5
팅커 테일러 솔저 스파이,드라마,3.6
행복,로맨스,3.2
샤이닝,공포,3.9
어메이징 스파이더맨 2,액션,3.7
끝까지 간다,범죄,3.8
팀 버튼의 크리스마스 악몽,가족,3.8
내 첫사랑을 너에게 바친다,로맨스,3.3
크루즈 패밀리,애니메이션,3.6
그 놈은 멋있었다,틴에이저,2.0
"연공: 안녕, 사랑하는 모든 것",로맨스,2.7
가을로,드라마,2.9
나는 네가 지난 여름에 한 일을 알고 있다,스릴러,3.0
아나스타샤,애니메이션,3.7
하이 스쿨 뮤지컬: 졸업반,로맨틱코미디,3.8
아나콘다,액션,3.1
헤라클레스,애니메이션,3.5
슈퍼맨,SF,3.6
죽여줘! 제니퍼,코미디,2.2
변호인,드라마,4.1
핫 칙,코미디,3.5
관상,드라마,3.7
신데렐라,애니메이션,3.7
소중한 날의 꿈,애니메이션,3.4
나 홀로 집에 2 - 뉴욕을 헤매다,가족,3.8
스튜어트 리틀 2,애니메이션,3.4
판타스틱 4 - 실버 서퍼의 위협,판타지,3.1
나우 유 씨 미: 마술사기단,범죄,3.8
눈먼 자들의 도시,드라마,3.5
나 홀로 집에 3,코미디,3.3
트랜스포터,액션,3.7
"안녕,헤이즐",로맨스,3.7
고스트버스터즈,액션,3.6
페임,코미디,3.2
러브 앤 프렌즈,코미디,3.1
엣지 오브 투모로우,액션,3.9
드래곤 길들이기: 나이트 퓨리의 선물,애니메이션,3.8
드래곤 길들이기 2,애니메이션,3.6
고스트 메신저 극장판,SF,3.3
에린 브로코비치,드라마,3.7
101마리의 달마시안 개,가족,3.7
프리키 프라이데이,드라마,3.5
해무,드라마,3.0
썸머 워즈,판타지,3.7
사랑은 언제나 진행중,로맨틱코미디,3.2
공주와 개구리,애니메이션,3.4
말아톤,스포츠,3.6
페이스 오프,액션,3.8
아이 엠 샘,드라마,4.0
메종 드 히미코,드라마,3.6
몬스터 대학교,애니메이션,3.8
혹성탈출: 반격의 서막,액션,3.7
금발이 너무해 2,로맨틱코미디,3.2
주노,코미디,3.3
"나를 책임져, 알피",로맨틱코미디,3.1
레이디와 트램프,애니메이션,3.7
말리와 나,드라마,3.3
하이힐을 신고 달리는 여자,로맨스,3.2
가디언즈 오브 갤럭시,코미디,4.0
스피드,액션,3.9
엑스맨: 데이즈 오브 퓨처 패스트,액션,4.0
겨울왕국,모험,4.0
저스트 프렌드,로맨틱코미디,3.2
우리 방금 결혼했어요,로맨틱코미디,3.1
어바웃 타임,판타지,4.3
드래곤 길들이기,애니메이션,3.9
더블 크라임,범죄,3.4
한나 몬타나: 더 무비,틴에이저,3.3
롱 키스 굿나잇,액션,3.3
레옹,액션,4.2
원 포 더 머니,드라마,2.6
실버라이닝 플레이북,코미디,3.7
아멜리에,로맨틱코미디,3.7
사랑보다 아름다운 유혹,드라마,3.3
알라딘,애니메이션,3.9
내 남자친구의 결혼식,로맨틱코미디,3.4
설국열차,SF,3.7
더 테러 라이브,드라마,3.5
숨바꼭질,스릴러,3.5
매직 마이크,코미디,3.0
프로포즈 데이,로맨틱코미디,3.4
가디언즈,애니메이션,3.8
화양연화,로맨스,4.0
트루 라이즈,액션,3.5
도망자,액션,3.8
스노우 화이트 앤 더 헌츠맨,액션,2.8
미이라 3: 황제의 무덤,액션,3.0
터미네이터 3 - 라이즈 오브 더 머신,액션,3.4
미이라,액션,3.6
뻐꾸기 둥지 위로 날아간 새,범죄,4.1
우리 생애 최고의 순간,드라마,3.4
스파이더맨 3,액션,3.7
동갑내기 과외하기,로맨틱코미디,3.0
내 남자친구는 왕자님,코미디,3.2
스타트 포 텐,코미디,3.2
포세이돈,재난,3.2
토마스 크라운 어페어,로맨스,3.2
무비 43,코미디,2.8
행오버,드라마,3.6
듀 데이트,코미디,3.2
인셉션,액션,4.4
007 골든 아이,액션,3.4
007 네버 다이,액션,3.3
007 어나더데이,액션,3.2
007 언리미티드,모험,3.3
스타트렉: 더 비기닝,액션,3.8
내 사랑,로맨틱코미디,3.0
허니,드라마,3.3
패밀리 맨,코미디,3.8
은밀하게 위대하게,액션,3.4
추억은 방울방울,애니메이션,3.5
제리 맥과이어,스포츠,3.8
스타트렉 다크니스,액션,3.8
P.S. 아이 러브 유,코미디,3.6
제인 에어,드라마,3.6
위대한 개츠비,로맨스,3.8
꼬마 니콜라,키즈,3.6
프로포즈,로맨틱코미디,3.5
당신이 잠든 사이에,로맨틱코미디,3.7
아기공룡 둘리 - 얼음별 대모험,코미디,3.7
버킷 리스트: 죽기전에 꼭 하고싶은것들,드라마,3.9
클루리스,틴에이저,3.3
왓 어 걸 원츠,로맨스,3.4
마틸다,키즈,3.8
내가 널 사랑할 수 없는 10가지 이유,로맨틱코미디,4.0
순정만화,로맨틱코미디,2.9
유브 갓 메일,드라마,3.5
노틀담의 꼽추,애니메이션,3.6
완벽한 그녀에게 딱 한가지 없는 것,코미디,3.4
보디가드,액션,3.6
태양의 노래,드라마,3.5
미래를 걷는 소녀,로맨스,3.4
피터 팬,가족,3.6
비포 선셋,로맨스,4.0
어글리 트루스,로맨틱코미디,3.3
사랑의 블랙홀,판타지,3.8
당신이 사랑하는 동안에,드라마,3.8
테이큰 2,액션,3.4
페넬로피,판타지,3.3
허니와 클로버,틴에이저,3.3
스텝업 4: 레볼루션,드라마,3.7
스텝 업 3D,로맨스,3.7
로마의 휴일,로맨스,4.0
시애틀의 잠 못 이루는 밤,코미디,3.7
오만과 편견,로맨스,3.9
러브 미 이프 유 데어,코미디,3.6
꼬마 유령 캐스퍼,판타지,3.5
브링 잇 온,코미디,3.4
주먹왕 랄프,애니메이션,3.9
광복절 특사,코미디,3.1
쩨쩨한 로맨스,로맨틱코미디,2.9
밀리언 달러 베이비,드라마,3.8
박물관이 살아있다 2,모험,3.3
프린세스 다이어리,코미디,3.6
미인도,로맨스,2.7
트랜스포터 - 엑스트림,액션,3.6
플라이트플랜,공포,3.4
귀여운 여인,로맨틱코미디,3.8
프리퀀시,SF,3.9
반딧불이의 묘,가족,3.4
쉬즈 더 맨,코미디,3.5
디스 민즈 워,로맨틱코미디,3.4
17 어게인,틴에이저,3.5
라이온 킹,애니메이션,4.1
브루스 올마이티,드라마,3.8
다이 하드 4.0,액션,3.6
7번방의 선물,드라마,3.9
첫 키스만 50번째,로맨스,3.7
레미제라블,드라마,4.0
엑스맨,액션,3.8
라스베가스에서만 생길 수 있는 일,로맨틱코미디,3.2
슈퍼배드,애니메이션,3.8
원티드,범죄,3.6
라따뚜이,판타지,4.0
엑스맨: 퍼스트 클래스,판타지,3.9
데스티네이션,공포,3.4
해리포터와 아즈카반의 죄수,판타지,3.9
미스트,드라마,3.4
내가 살인범이다,액션,3.5
해리포터와 죽음의 성물 2,판타지,3.9
스파이더맨,액션,3.8
노팅 힐,로맨스,4.0
반 헬싱,판타지,3.2
디 워,판타지,1.9
트로이,로맨스,3.7
조선명탐정 : 각시투구꽃의 비밀,코미디,3.3
소스 코드,액션,3.7
도가니,스릴러,3.6
500일의 썸머,로맨틱코미디,3.9
맘마미아!,코미디,3.8
웰컴 투 동막골,코미디,3.7
7급 공무원,코미디,3.1
트랜스포머: 패자의 역습,액션,3.6
이터널 선샤인,드라마,4.1
트랜스포머 3,액션,3.5
어바웃 어 보이,드라마,3.6
국가대표,드라마,3.7
벅스 라이프,애니메이션,3.6
아이언맨,SF,4.2
번지 점프를 하다,드라마,3.7
아이언맨 3,SF,4.1
명탐정 코난: 칠흑의 추적자,애니메이션,3.6
플립,틴에이저,4.0
고양이의 보은,판타지,3.7
다이 하드 3,액션,3.8
13 구역,액션,3.7
브리짓 존스의 일기,코미디,3.7
백설공주와 일곱 난쟁이,애니메이션,3.7
가위손,판타지,3.9
시월애,드라마,3.5
크로니클,드라마,3.4
레드,액션,3.6
스텝 업,드라마,3.7
타잔,애니메이션,3.6
혹성탈출: 진화의 시작,SF,3.7
비밀의 숲 테라비시아,드라마,3.3
레터스 투 줄리엣,코미디,3.5
스텝업 2 - 더 스트리트,로맨스,3.6
A-특공대,액션,3.7
맨 인 블랙,모험,3.9
미스터 & 미세스 스미스,액션,3.6
투모로우,액션,3.6
벤자민 버튼의 시간은 거꾸로 간다,판타지,3.8
다크 나이트,액션,4.3
시간을 달리는 소녀,판타지,4.1
아바타,SF,3.9
라이온 킹 2,애니메이션,3.7
금발이 너무해,로맨틱코미디,3.4
이웃집 토토로,판타지,4.0
다이 하드 2,액션,3.8
전우치,코미디,3.4
트랜스포머,액션,3.9
과속스캔들,드라마,3.7
오펀: 천사의 비밀,공포,3.5
쏘우,공포,3.5
늑대의 유혹,로맨스,2.9
"광해, 왕이 된 남자",시대극,4.0
라디오 스타,드라마,3.5
죽은 시인의 사회,드라마,4.2
트와일라잇,드라마,3.6
매트릭스,판타지,4.2
귀를 기울이면,틴에이저,3.8
미녀와 야수,애니메이션,4.0
해리포터와 죽음의 성물 1,판타지,3.8
어린 신부,코미디,2.9
판의 미로 - 오필리아와 세 개의 열쇠,판타지,3.7
써니,드라마,4.0
토르: 천둥의 신,액션,3.7
최종병기 활,액션,3.6
고백,스릴러,3.6
마당을 나온 암탉,애니메이션,3.5
다크 나이트 라이즈,액션,4.1
어벤져스,모험,4.2
반창꼬,로맨스,3.5
이프 온리,코미디,4.0
사운드 오브 뮤직,드라마,4.1
괴물,스릴러,3.8
내 머리 속의 지우개,로맨스,3.7
테이큰,드라마,4.0
블랙 스완,드라마,3.9
셜록 홈즈,액션,3.7
코어,액션,3.4
"나니아 연대기 - 사자, 마녀 그리고 옷장",모험,3.7
어거스트 러쉬,드라마,3.9
아이덴티티,공포,4.0
동감,로맨스,3.6
맨 인 블랙 2,SF,3.7
8월의 크리스마스,드라마,3.9
노트북,로맨스,4.0
블랙,드라마,3.7
물랑 루즈,로맨스,3.9
타이타닉,로맨스,4.3
미션 임파서블,액션,4.0
우주전쟁,모험,3.4
해리가 샐리를 만났을 때,로맨틱코미디,3.8
브리짓 존스의 일기 - 열정과 애정,코미디,3.7
내 아내의 모든 것,로맨스,3.6
늑대소년,로맨스,3.5
토이 스토리 3,애니메이션,4.1
어메이징 스파이더맨,액션,3.8
쿵푸팬더 2,애니메이션,3.5
해리포터와 불사조 기사단,판타지,3.8
포카혼타스,로맨스,3.6
해리포터와 혼혈왕자,판타지,3.7
해리포터와 마법사의 돌,판타지,4.1
매트릭스 2 - 리로디드,SF,3.9
"아이, 로봇",스릴러,3.6
8 마일,음악,3.7
시카고,코미디,3.8
트루먼 쇼,드라마,4.2
월-E,가족,4.1
모노노케 히메,애니메이션,4.0
냉정과 열정 사이,로맨스,3.6
콘스탄틴,판타지,3.9
세렌디피티,로맨스,3.6
쥬만지,가족,3.7
집으로...,드라마,3.8
천공의 성 라퓨타,판타지,3.9
엽기적인 그녀,드라마,3.8
새드 무비,로맨스,3.0
셜록 홈즈: 그림자 게임,액션,3.6
오싹한 연애,공포,3.2
해바라기,드라마,3.8
화려한 휴가,드라마,3.6
해리 포터와 비밀의 방,판타지,3.9
토이 스토리 2,애니메이션,4.0
"지금, 만나러 갑니다",로맨스,3.9
"다만, 널 사랑하고 있어",로맨스,3.6
말할 수 없는 비밀,로맨스,4.0
드림걸즈,음악,3.7
야수와 미녀,로맨틱코미디,2.9
러브 액츄얼리,코미디,4.0
업,드라마,4.1
아저씨,드라마,3.9
라푼젤,로맨스,4.0
블라인드,스릴러,3.4
에어 포스 원,액션,3.5
신기전,액션,3.1
스튜어트 리틀,모험,3.6
화차,스릴러,3.4
언터처블: 1%의 우정,코미디,4.0
니모를 찾아서,판타지,3.9
"조제, 호랑이 그리고 물고기들",로맨스,3.9
마이너리티 리포트,액션,4.0
유령 신부,판타지,3.6
스쿨 오브 락,음악,3.8
센과 치히로의 행방불명,판타지,4.3
메멘토,미스터리,4.1
늑대아이,판타지,3.9
마법에 걸린 사랑,애니메이션,3.4
악마는 프라다를 입는다,드라마,3.9
터미네이터 2,액션,4.1
인어 공주,애니메이션,4.0
나 홀로 집에,가족,4.0
비커밍 제인,드라마,3.7
마녀 배달부 키키,판타지,3.7
왕의 남자,드라마,3.8
아마겟돈,SF,3.8
다이 하드,액션,4.0
신부 수업,코미디,2.4
터미널,드라마,3.9
미녀는 괴로워,코미디,3.4
쿵푸팬더,애니메이션,3.7
하늘에서 음식이 내린다면,애니메이션,3.4
김종욱 찾기,로맨틱코미디,3.5
식스 센스,드라마,4.1
패닉 룸,드라마,3.5
우리들의 행복한 시간,로맨스,3.6
몬스터 주식회사,애니메이션,4.0
아일랜드,스릴러,3.7
그 여자 작사 그 남자 작곡,로맨스,3.8
프린세스 다이어리 2,가족,3.5
...ing,드라마,3.0
아이언맨 2,SF,4.0
트랜스포터 - 라스트 미션,액션,3.6
007 스카이폴,액션,3.8
토이 스토리,애니메이션,4.1
해리포터와 불의 잔,판타지,3.8
이티,가족,3.9
오페라의 유령,로맨스,3.8
찰리와 초콜릿 공장,판타지,3.8
뮬란,애니메이션,3.9
렛 미 인,공포,3.7
시라노; 연애조작단,로맨틱코미디,3.3
러브레터,로맨스,4.0
퀸카로 살아남는 법,로맨틱코미디,3.6
행운을 돌려줘,로맨틱코미디,3.3
미이라 2,액션,3.3
인크레더블,가족,3.8
클래식,로맨스,3.9
비포 선라이즈,로맨스,4.1
콘 에어,액션,3.7
나비 효과,SF,4.0
나쁜 녀석들,액션,3.7
나잇 & 데이,액션,3.3
사랑과 영혼,스릴러,3.8
귀신이 산다,코미디,2.9
헐크,판타지,3.2
해운대,액션,3.3
이상한 나라의 앨리스,모험,3.5
바람계곡의 나우시카,애니메이션,4.0
원스,드라마,3.9
스파이더맨 2,액션,3.7
폴리테크닉,범죄,3.5
오픈,드라마,3.2
테넷,액션,4.0
밤쉘: 세상을 바꾼 폭탄선언,드라마,3.8
쉘로우 그레이브,드라마,3.7
목격자의 밤,드라마,3.5
시간 에이전트,한국,3.0
13일의 금요일,공포,3.0
고독,범죄,3.6
폴리테크닉,범죄,3.5
오픈,드라마,3.2
테넷,액션,4.0
밤쉘: 세상을 바꾼 폭탄선언,드라마,3.8
쉘로우 그레이브,드라마,3.7
목격자의 밤,드라마,3.5
시간 에이전트,한국,3.0
13일의 금요일,공포,3.0
고독,범죄,3.6
워터 릴리스,드라마,3.6
리브 앤 다이,액션,3.4
네고시에이터,액션,3.7
몬스터,범죄,3.6
다만 악에서 구하소서,범죄,3.0
써로게이트,SF,3.3
다이 하드 2,액션,3.8
기호 1번 나청렴,애니메이션,2.7
페인티드 버드,전쟁,3.4
강철비2: 정상회담,드라마,2.8
소년 아메드,드라마,3.6
서울역,애니메이션,2.9
반도,액션,2.7
언더월드,액션,3.4
다이 하드,액션,4.0
굿나잇 디어,덴마크,2.2
최첨단 편집 - 영화 편집의 마술,다큐멘터리,3.8
한심해서 죄송합니다.,애니메이션,3.3
네 멋대로 해라,로맨스,3.8
우리 집에 왜 왔니,드라마,2.6
캐빈 인 더 우즈,공포,3.2
필름 소셜리즘,드라마,2.9
트랜짓,드라마,3.7
탐정,드라마,3.0
동사서독 리덕스,드라마,3.6
#살아있다,드라마,2.2
코퍼,공포,2.5
"전혀아니다,별로아니다,가끔그렇다,항상그렇다",드라마,3.5
캡틴 아메리카: 윈터 솔져,액션,4.0
만사형통,드라마,3.7
덤 앤 더머,코미디,3.6
매드 디텍티브,드라마,3.2
퍼니 게임,공포,3.2
마담 싸이코,드라마,2.9
사라진 시간,미스터리,2.8
버스 44,드라마,3.2
물 뿌리는 자와 물 맞은 자,코미디,3.4
국외자들,드라마,3.9
애프터눈 클래스,애니메이션,3.6
결백,드라마,2.9
Da 5 블러드,드라마,3.1
라디오헤드: 데이드리밍,단편,3.6
전망 좋은 방,드라마,3.5
미치광이 피에로,로맨스,3.8
비밀은 없다,스릴러,3.3
소셜 네트워크,드라마,3.5
데스티네이션,공포,3.4
닥터 슬립,공포,3.3
프랑스여자,드라마,3.2
더 라스트 블랙 맨 인 샌프란시스코,드라마,3.4
침입자,미스터리,2.4
리지,범죄,3.2
동갑내기 과외하기,로맨틱코미디,3.0
멋진 인생,드라마,3.8
똑바로 살아라,범죄,3.6
버드 카르마,애니메이션,2.8
욕망,드라마,3.9
연금술사의 편지,판타지,3.4
배고픈 사람?,애니메이션,3.0
꿈과 광기의 왕국,다큐멘터리,3.7
해피니스,애니메이션,3.4
매그놀리아,드라마,3.9
런치 데이트,미국,3.6
블루 벨벳,로맨스,3.6
단지 세상의 끝,드라마,3.3
와일드 구스 레이크,범죄,3.2
게르트루드,드라마,4.0
블레이드 II,판타지,3.5
님포매니악 볼륨2,드라마,3.3
마더,드라마,3.6
종이의 집: 신드롬이 된 드라마,다큐멘터리,3.5
대리석 인간,드라마,3.8
서브마린 샌드위치,애니메이션,3.5
카페 벨에포크,코미디,3.6
김군,다큐멘터리,3.8
미드웨이 해전,다큐멘터리,3.0
말을 잡아라!,애니메이션,3.4
둠스데이 - 지구 최후의 날,재난,2.6
곰돌이 푸의 모험,가족,3.8
캣츠,공연실황,3.9
적과 백,전쟁,3.7
오퍼나지 - 비밀의 계단,공포,3.3
알파벳,애니메이션,3.2
호신술의 모든 것,스포츠,3.4
여섯개의 형상들,애니메이션,2.8
리차드 쥬얼,드라마,3.5
한가지 문제의 두가지 해답,이란,3.2
더 히어로,드라마,3.8
빵과 골목길,이란,3.5
청소부 톰,애니메이션,2.7
더 카워드,로맨스,3.6
올리브 나무 사이로,드라마,3.8
아버지와 딸,애니메이션,3.8
팅커 테일러 솔저 스파이,드라마,3.6
사이드 바이 사이드,다큐멘터리,3.7
그을린 사랑,드라마,4.0
릴로 & 스티치,애니메이션,3.6
얼라이드,액션,3.6
그리고 삶은 계속된다,모험,3.9
더 플랫폼,공포,3.3
구름 조금,판타지,4.0
칩 스릴,스릴러,3.2
더 뮤직 룸,드라마,4.0
레미제라블 25주년 런던 라이브 공연,드라마,4.3
우리 선희,드라마,3.5
다음 층,드라마,3.7
내 친구의 집은 어디인가,드라마,3.8
아 유 로스트 인 더 월드 라이크 미?,애니메이션,3.1
퍼스널 쇼퍼,드라마,3.4
베니스에서의 어린이 자동차 경주,코미디,2.9
우익청년 윤성호,다큐멘터리,3.4
인시앙,드라마,3.7
구멍,대만,3.6
더 게임,드라마,3.6
카고,드라마,3.9
레이니 데이 인 뉴욕,코미디,3.3
잘려진 머리,드라마,3.5
패왕별희,드라마,4.0
링컨,드라마,3.4
카우치,코미디,2.5
