code,title,year,genres,ratings_avg,comments
mOVvX1O,줄 위의 종달새,1990,"['로맨틱코미디', '드라마']",3.4,"[{'user_code': '8BRveN4jD56VJ', 'user_name': '다혜', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': 'Mr95nAagjvZPG', 'user_name': '백준', 'user_rating': 2.5}, {'user_code': 'Pznx9ED3jx761', 'user_name': '물에빠진물고기', 'user_rating': 3.0}, {'user_code': 'JZ4vB0NLzWxRX', 'user_name': 'boinda', 'user_rating': 4.0}, {'user_code': 'nkPvr9ayNqgar', 'user_name': 'KIM', 'user_rating': 2.0}, {'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.5}]"
m5Gp1pW,뮤직 박스,1989,"['범죄', '드라마', '스릴러']",3.8,"[{'user_code': '6ADvG6VGLqzZl', 'user_name': '정승원', 'user_rating': 4.0}, {'user_code': '8nPvymMB9vYo0', 'user_name': '홍수미', 'user_rating': 4.0}, {'user_code': 'JZ4vBaGdmqRXO', 'user_name': 'YoungChang Jo', 'user_rating': 2.5}, {'user_code': 'VRZv4BnBexr6y', 'user_name': 'vestige', 'user_rating': 4.0}, {'user_code': '6NW5QPKoKv1Yo', 'user_name': '유재현', 'user_rating': 4.5}, {'user_code': 'R6OvKP7nY5N8V', 'user_name': 'Seung Ryul Lee', 'user_rating': 4.0}, {'user_code': 'Q9L5p12oMxNb0', 'user_name': '김현지', 'user_rating': 3.5}, {'user_code': 'D4WLxZjyrxroA', 'user_name': '춘백', 'user_rating': 4.5}, {'user_code': 'nkPvrJdJOvgar', 'user_name': '김민영 ', 'user_rating': 4.0}, {'user_code': 'BJZ4vBP2zxRXO', 'user_name': '임재영', 'user_rating': 4.0}]"
mqW9A4W,레인 맨,1988,['드라마'],4.0,"[{'user_code': 'YaR5Y0Z89vgX1', 'user_name': '강민혁', 'user_rating': 4.0}, {'user_code': 'RE952LmLgqQ72', 'user_name': '오지보이', 'user_rating': 4.0}, {'user_code': '6ADvGQdzgxzZl', 'user_name': '이중석', 'user_rating': 4.0}, {'user_code': 'WwRqopwVyvlzB', 'user_name': 'Camellia', 'user_rating': 4.0}, {'user_code': '2mwvgYmarxMa7', 'user_name': '권혜정', 'user_rating': 4.0}, {'user_code': 'GRE952GgxQ72e', 'user_name': '밀가루', 'user_rating': 4.0}, {'user_code': '17ovV08glxzyn', 'user_name': '제시', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 4.0}, {'user_code': 'YMKqmON2k5loD', 'user_name': 'minEs2', 'user_rating': 4.0}, {'user_code': '4WLxZl4eEvroA', 'user_name': 'Keyser Soze', 'user_rating': 4.0}]"
m5XM9AW,붉은 수수밭,1988,"['드라마', '전쟁']",3.6,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': '3Bnvw0k1Z5PAY', 'user_name': '함지아', 'user_rating': 5.0}, {'user_code': '87Gv7Z6QVqE6o', 'user_name': '편파적으로 영화 보는 정지영', 'user_rating': 4.5}, {'user_code': '8nPvyYQRPPvYo', 'user_name': '김수훈', 'user_rating': 4.0}, {'user_code': 'YMKqm2bPrvloD', 'user_name': '타블리', 'user_rating': 3.0}, {'user_code': '2mwvgZAyQqMa7', 'user_name': 'ㄱ강현우', 'user_rating': 2.0}, {'user_code': 'KWRQxD6b6vdl9', 'user_name': '시나문', 'user_rating': 3.5}, {'user_code': 'jae5WMzyRq1P3', 'user_name': 'GEOGRAPHIC', 'user_rating': 4.0}, {'user_code': '6ADvGQwymxzZl', 'user_name': '옹자', 'user_rating': 4.0}, {'user_code': '8nPvy4gr4qYo0', 'user_name': '후디캣의 무비라이프', 'user_rating': 3.5}]"
mOAjKzQ,테마,1979,['드라마'],0.0,[]
mOgY0a5,쉬탐하임,1986,[],0.0,[]
m5rZjE5,우먼 앤드 더 스트레인저,1985,[],3.5,[]
m5xVErO,웨더비,1985,"['드라마', '미스터리']",3.5,"[{'user_code': 'WRQxDkw965dl9', 'user_name': '이호중', 'user_rating': 4.5}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': '3BnvwlaQg5PAY', 'user_name': '하게', 'user_rating': 4.0}, {'user_code': 'RE952bLDE5Q72', 'user_name': '😘묘淑', 'user_rating': 3.0}, {'user_code': '8BRveZdmJ56VJ', 'user_name': 'Yves Klein', 'user_rating': 3.5}, {'user_code': 'RE952A1o1vQ72', 'user_name': '카이로스의 시간..', 'user_rating': 4.0}, {'user_code': '17ovV7K4R5zyn', 'user_name': '오아시스', 'user_rating': 4.5}]"
mWJ3q4O,사랑의 행로,1984,"['드라마', '코미디']",3.9,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.0}, {'user_code': 'VRZv4Jpgpxr6y', 'user_name': 'auteur cinema', 'user_rating': 5.0}, {'user_code': '3Bnvw1mdKxPAY', 'user_name': '에붕이', 'user_rating': 4.5}, {'user_code': 'OkexJLPorvdbw', 'user_name': 'outlet', 'user_rating': 4.0}, {'user_code': 'RE95229pa5Q72', 'user_name': 'moviemon94', 'user_rating': 4.0}, {'user_code': 'yKZx3MnVEv4dJ', 'user_name': 'HAL9000', 'user_rating': 3.5}, {'user_code': 'JgkqlbMKD5X0b', 'user_name': '조성호', 'user_rating': 3.5}, {'user_code': 'NP9vLMwDK56kl', 'user_name': '사춘기', 'user_rating': 4.0}]"
mWyJDYy,벌집,1982,['드라마'],0.0,[]
md6lXrA,어센던시,1983,['드라마'],0.0,[]
mWyRk6O,베로니카 포스의 갈망,1982,['드라마'],3.7,"[{'user_code': 'YMKqm2p7lvloD', 'user_name': '차지훈', 'user_rating': 4.5}, {'user_code': 'nkPvrL1ADxgar', 'user_name': 'Eun Hye Choo', 'user_rating': 4.0}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.0}, {'user_code': '7gdxd6e32vGYJ', 'user_name': '르네상스형뮤지션', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': '36lvXmWQZ5Xdn', 'user_name': '샌드', 'user_rating': 4.0}, {'user_code': 'Vj4PxO1wrvp0Q', 'user_name': '미상.', 'user_rating': 4.5}, {'user_code': '8BRveZdmJ56VJ', 'user_name': 'Yves Klein', 'user_rating': 4.0}, {'user_code': 'Jgkql883nqX0b', 'user_name': '서상원', 'user_rating': 4.0}, {'user_code': 'VRZv4d0EPvr6y', 'user_name': '꾸러기', 'user_rating': 4.5}]"
mO01zvd,질주,1981,"['드라마', '범죄']",3.0,"[{'user_code': 'zNM5N6jd7526j', 'user_name': 'JeongpilChae', 'user_rating': 2.5}, {'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.5}]"
mdRNeLd,하트랜드,1979,['드라마'],3.5,"[{'user_code': 'JZ4vBbeMYvRXO', 'user_name': 'R2', 'user_rating': 3.0}]"
mWyqbXY,Palermo or Wolfsburg,1980,[],0.0,[]
mdEVZl5,데이비드,1979,"['전쟁', '드라마']",3.1,[]
mWqJJjl,아쎈소르,1978,[],3.8,[]
mOV4o85,왓 맥스 세드,1978,[],3.2,[]
mdKY67W,트라웃,1978,[],3.5,[]
mdEKNpW,고양,1977,"['전쟁', '드라마']",4.1,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 4.0}, {'user_code': '8BRvew8EJx6VJ', 'user_name': 'sade', 'user_rating': 5.0}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 5.0}, {'user_code': '17ovVLmd9xzyn', 'user_name': 'ChrisCHUN', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 5.0}, {'user_code': '6ADvGywbdxzZl', 'user_name': '김남윤', 'user_rating': 5.0}, {'user_code': 'D4WLxZjyrxroA', 'user_name': '춘백', 'user_rating': 3.5}, {'user_code': 'JZ4vBJOGWvRXO', 'user_name': '박영철', 'user_rating': 4.0}, {'user_code': 'nkPvrL1ADxgar', 'user_name': 'Eun Hye Choo', 'user_rating': 4.5}]"
mdM2em5,더디 크레이비츠의 수습 기간,1974,[],2.7,[]
mWJj3JW,대지의 눈물,1973,['드라마'],3.8,"[{'user_code': 'JZ4vB0NLzWxRX', 'user_name': 'boinda', 'user_rating': 4.0}]"
mWy6zkO,캔터베리 이야기,1972,"['드라마', '코미디']",3.6,"[{'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': '6NW5QPEEgv1Yo', 'user_name': '안젤리나', 'user_rating': 3.0}, {'user_code': 'VRZv4L201vr6y', 'user_name': '홉헤드레드', 'user_rating': 2.5}, {'user_code': '36lvX1YAJ5Xdn', 'user_name': '송다인', 'user_rating': 3.0}, {'user_code': 'XZBm5RYOavd46', 'user_name': 'IMDb 평점', 'user_rating': 3.5}, {'user_code': '3BnvwPa0g5PAY', 'user_name': '내게는 천국같았던', 'user_rating': 3.0}, {'user_code': '6ADvGADAYxzZl', 'user_name': 'YYJ', 'user_rating': 1.0}, {'user_code': 'GRE952waMxQ72', 'user_name': 'UnFlic', 'user_rating': 0.0}]"
m5YBRwW,핀치 콘티니의 정원,1970,"['드라마', '전쟁', '로맨스']",3.3,"[{'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': 'Mr95n1pbDvZPG', 'user_name': 'oㅏ타', 'user_rating': 4.0}, {'user_code': 'a9L5Pr4WOqwg8', 'user_name': '조슈아', 'user_rating': 3.5}, {'user_code': '7gdxd6KQVvGYJ', 'user_name': '오태영', 'user_rating': 4.5}, {'user_code': 'JZ4vBaGdmqRXO', 'user_name': 'YoungChang Jo', 'user_rating': 2.5}, {'user_code': 'ZBm5R0wEJ6qd4', 'user_name': '류지훈', 'user_rating': 5.0}, {'user_code': 'WRQxDOw1V5dl9', 'user_name': '최고의띵곡렛잇고', 'user_rating': 5.0}, {'user_code': 'ZWpqM3PNN5rkn', 'user_name': 'PurpleMADE', 'user_rating': 4.5}, {'user_code': 'yKZx3Q9PEv4dJ', 'user_name': '아아악!!! 머같은 내 인생...', 'user_rating': 4.0}, {'user_code': 'ld0q04b4Eq6Xn', 'user_name': '백희', 'user_rating': 3.5}]"
m5XRw1O,얼리 웍스,1969,"['드라마', '코미디']",3.5,"[{'user_code': '2mwvg1VaJxMa7', 'user_name': '유은솔', 'user_rating': 4.0}]"
mO0DKxO,누가 그의 죽음을 보았는가,1968,[],3.5,"[{'user_code': 'JZ4vB0NLzWxRX', 'user_name': 'boinda', 'user_rating': 4.0}]"
md6nmZd,출발,1967,"['드라마', '로맨스', '코미디']",3.5,"[{'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.5}]"
mO1yzxO,막다른 골목,1966,"['드라마', '스릴러', '코미디']",3.6,"[{'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 3.5}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 3.5}, {'user_code': 'Q9L5pQ9ogxNb0', 'user_name': '박휘웅', 'user_rating': 3.5}, {'user_code': 'a9L5PwPPOvwg8', 'user_name': '별빠', 'user_rating': 4.0}, {'user_code': '8BRveVmZQ56VJ', 'user_name': '듀나봇', 'user_rating': 4.5}, {'user_code': '8BRve2Yen56VJ', 'user_name': 'Lilly', 'user_rating': 4.0}, {'user_code': 'RJgkqlm02vX0b', 'user_name': 'tonymontana', 'user_rating': 3.5}, {'user_code': '17ovV08glxzyn', 'user_name': '제시', 'user_rating': 5.0}, {'user_code': 'nkPvry2J8Nqga', 'user_name': 'Metacritic', 'user_rating': 4.0}]"
m5YV2GW,알파빌,1965,"['로맨스', '드라마', '스릴러']",3.7,"[{'user_code': 'nkPvrb8wrvgar', 'user_name': 'Jay Oh', 'user_rating': 3.5}, {'user_code': 'ZBm5ROMzaxd46', 'user_name': '홍가희', 'user_rating': 4.0}, {'user_code': 'WwRqowXW0qlzB', 'user_name': '신승은', 'user_rating': 5.0}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 4.0}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.0}, {'user_code': 'K6ExjB1wwxX1O', 'user_name': 'Hoon', 'user_rating': 4.0}, {'user_code': 'R6OvK7DEYvN8V', 'user_name': '최은규', 'user_rating': 4.0}, {'user_code': 'YMKqmo2Oe5loD', 'user_name': '마리아', 'user_rating': 3.0}, {'user_code': '6NW5QnNDZx1Yo', 'user_name': '고민성', 'user_rating': 5.0}, {'user_code': '87Gv7NGkPmqE6', 'user_name': '모까모까', 'user_rating': 4.0}]"
mOg7w0O,메마른 여름,1964,[],3.4,[]
mWzY0B5,디아볼로,1963,['스릴러'],3.5,[]
mdEVmg5,부시도,1963,"['액션', '드라마']",3.5,"[{'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': 'nkPvrbOeNvgar', 'user_name': 'rol', 'user_rating': 4.0}, {'user_code': 'a9L5PaVAPxwg8', 'user_name': '도마', 'user_rating': 3.0}, {'user_code': 'JgkqlbgWn5X0b', 'user_name': '강중경', 'user_rating': 4.5}, {'user_code': 'GRE952waMxQ72', 'user_name': 'UnFlic', 'user_rating': 4.0}]"
m5GejNO,사랑의 유형,1962,"['로맨스', '드라마']",3.4,[]
mdjmQlO,밤,1961,['드라마'],3.9,"[{'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': 'j4PxOYL3wZvp0', 'user_name': 'No.1 외화', 'user_rating': 3.5}, {'user_code': '8nPvyGlM4xYo0', 'user_name': '천성식', 'user_rating': 3.0}, {'user_code': 'g64qz8Gkp5ER0', 'user_name': 'qwertydvorak', 'user_rating': 3.0}, {'user_code': '6NW5QPEEgv1Yo', 'user_name': '안젤리나', 'user_rating': 4.5}, {'user_code': 'nkPvrbOeNvgar', 'user_name': 'rol', 'user_rating': 4.0}, {'user_code': 'WwRqo0dG0vlzB', 'user_name': '조규식', 'user_rating': 4.0}, {'user_code': 'OkexJLPorvdbw', 'user_name': 'outlet', 'user_rating': 4.5}, {'user_code': 'Jgkqlrrkb5X0b', 'user_name': '양덕영', 'user_rating': 4.5}, {'user_code': 'Mr95n1pbDvZPG', 'user_name': 'oㅏ타', 'user_rating': 3.5}]"
mWv8Q0d,엘 라사리요 데 토르메스,1959,"['드라마', '코미디']",3.3,[]
m5nYoXd,사촌들,1959,['드라마'],3.6,"[{'user_code': '36lvXPjGovXdn', 'user_name': 'Eomky', 'user_rating': 2.5}, {'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.0}, {'user_code': 'WwRqoymby5lzB', 'user_name': 'Ha ma', 'user_rating': 4.5}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': 'Q9L5pQ9ogxNb0', 'user_name': '박휘웅', 'user_rating': 3.0}, {'user_code': 'OkexJLPorvdbw', 'user_name': 'outlet', 'user_rating': 4.0}, {'user_code': '8BRveZdmJ56VJ', 'user_name': 'Yves Klein', 'user_rating': 4.0}, {'user_code': 'JZ4vB2BMWvRXO', 'user_name': 'sxxpistols', 'user_rating': 3.5}, {'user_code': '6ADvGVWKKqzZl', 'user_name': '달밤에그림자를쫓다', 'user_rating': 4.0}, {'user_code': 'yKZx3BJ6E54dJ', 'user_name': '껄껄', 'user_rating': 3.5}]"
m85XnNO,산딸기,1957,['드라마'],3.9,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': 'nkPvrb8wrvgar', 'user_name': 'Jay Oh', 'user_rating': 4.0}, {'user_code': 'YaR5YlVEwvgX1', 'user_name': 'JE', 'user_rating': 5.0}, {'user_code': 'nkPvr8BbExgar', 'user_name': 'JH', 'user_rating': 4.5}, {'user_code': 'JZ4vB0W72YxRX', 'user_name': 'CHAN', 'user_rating': 4.5}, {'user_code': 'nkPvrbOeNvgar', 'user_name': 'rol', 'user_rating': 4.5}, {'user_code': 'K6ExjB1wwxX1O', 'user_name': 'Hoon', 'user_rating': 5.0}, {'user_code': 'a9L5PE7pgxwg8', 'user_name': 'MLTNG DWN', 'user_rating': 5.0}, {'user_code': 'yKZx38jooq4dJ', 'user_name': 'Soy', 'user_rating': 4.0}, {'user_code': 'OQ9L5pXdg5Nb0', 'user_name': '이제열', 'user_rating': 4.5}]"
mdBzxzd,12명의 성난 사람들,1957,['드라마'],4.2,"[{'user_code': '36lvXywPj5Xdn', 'user_name': '마수', 'user_rating': 5.0}, {'user_code': 'KWRQxDPXVxdl9', 'user_name': '신한나', 'user_rating': 5.0}, {'user_code': 'aJYMKqmk5loDW', 'user_name': 'Alex Won', 'user_rating': 5.0}, {'user_code': '17ovVA0mRqzyn', 'user_name': 'Violet', 'user_rating': 5.0}, {'user_code': 'yKZx3nMLZ54dJ', 'user_name': '미자', 'user_rating': 4.0}, {'user_code': '17ovV08glxzyn', 'user_name': '제시', 'user_rating': 4.5}, {'user_code': 'nb4xkpAYGqOAz', 'user_name': 'jjinkuunn', 'user_rating': 5.0}, {'user_code': 'Mr95n3aKzxZPG', 'user_name': 'LSD', 'user_rating': 5.0}, {'user_code': 'ZBm5R0Mj7qd46', 'user_name': '김성호의 씨네만세', 'user_rating': 5.0}, {'user_code': 'JgkqlbDM45X0b', 'user_name': '지용', 'user_rating': 4.5}]"
m5n6bk5,인버테이션 투 더 댄스,1956,"['액션', '드라마', '스릴러']",3.4,[]
m53m2Np,더 랫츠,1955,['드라마'],0.0,[]
mWzeLg5,홉슨의 사위 고르기,1954,"['로맨틱코미디', '드라마']",3.8,"[{'user_code': 'XZBm5RYOavd46', 'user_name': 'IMDb 평점', 'user_rating': 4.0}]"
mdj02JW,공포의 보수,1953,"['스릴러', '드라마', '모험']",3.8,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.5}, {'user_code': 'ZBm5RAJaPvd46', 'user_name': 'November Rain', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.0}, {'user_code': 'R6OvKdkrE65N8', 'user_name': '키선링🔪', 'user_rating': 3.5}, {'user_code': 'p24BqEAGmqrjn', 'user_name': 'CMJ', 'user_rating': 4.0}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 4.5}, {'user_code': 'a9L5PE7pgxwg8', 'user_name': 'MLTNG DWN', 'user_rating': 4.5}, {'user_code': 'YaR5YlVEwvgX1', 'user_name': 'JE', 'user_rating': 4.0}, {'user_code': 'a9L5PwPPOvwg8', 'user_name': '별빠', 'user_rating': 4.5}, {'user_code': 'VRZv4EWgw5r6y', 'user_name': 'Eagleeye17', 'user_rating': 4.0}]"
mWyQGRM,원 섬머 오브 해피니스,1951,"['로맨스', '드라마']",0.0,[]
mdjmbzO,신데렐라,1950,"['애니메이션', '판타지', '로맨스', '드라마']",3.7,"[{'user_code': 'RE952B1pg5Q72', 'user_name': 'JJ', 'user_rating': 3.5}, {'user_code': 'WRQxDkw965dl9', 'user_name': '이호중', 'user_rating': 2.5}, {'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 4.5}, {'user_code': 'j4PxOBleA5p0Q', 'user_name': '개구진개굴이', 'user_rating': 3.5}, {'user_code': 'Pznx9pXBo5761', 'user_name': 'tt.', 'user_rating': 4.0}, {'user_code': '2mwvggmrrvMa7', 'user_name': 'Film Conquerant', 'user_rating': 3.5}, {'user_code': '87Gv7zgkmqE6o', 'user_name': '주희', 'user_rating': 4.0}, {'user_code': '6NW5QBzYgx1Yo', 'user_name': 'вσяα ʝυ', 'user_rating': 4.0}, {'user_code': '4WLxZl4eEvroA', 'user_name': 'Keyser Soze', 'user_rating': 0.0}, {'user_code': 'Mr95nylydvZPG', 'user_name': 'Doi', 'user_rating': 4.0}]"
mWvVb7Z,재판은 끝났다,1950,['드라마'],0.0,[]
md7J2rM,인 비버 밸리,1950,"['가족', '다큐멘터리']",0.0,[]
m5ag41q,위드아웃 리빙 언 어드레스 ,1951,"['드라마', '코미디']",0.0,[]
m5ngYnW,포 인 어 지프,1951,['드라마'],0.0,[]
